"Statistical unit","Unit of measure","Level of education","Orientation","Sex","Age","Grade","Type of institution","Level of educational attainment","School subject","Wealth quintile","Infrastructure","Location","Type of education","Socioeconomic background","Source of funding","Funding flow","Reference area","Time Period","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ROFST:Rate of out-of-school children","PT:Percentage","L1:Primary education","_T:Total","F:Female","SCH_AGE_GROUP:School-age population","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","ROFST:PT:L1:_T:F:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","6.99372","8.80116","6.98591","6.16972","6.16719","7.50463","8.11634","7.19275","8.05169","11.09949",""
"CR:Completion rate","PT:Percentage","L2:Lower secondary education","_T:Total","M:Male","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q2:Second","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L2:_T:M:_T:GLAST:INST_T:_Z:_T:Q2:_Z:_T:_T:_T:_Z:_Z:VE","60.28000","64.82000","68.31000","67.91000","68.31000","63.81000","69.67000","","","",""
"CR:Completion rate","PT:Percentage","L3:Upper secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q2:Second","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L3:_T:_T:_T:GLAST:INST_T:_Z:_T:Q2:_Z:_T:_T:_T:_Z:_Z:VE","52.64000","54.34000","56.90000","62.16000","62.97000","62.12000","65.02000","","","",""
"CR:Completion rate","PT:Percentage","L2:Lower secondary education","_T:Total","M:Male","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q3:Middle","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L2:_T:M:_T:GLAST:INST_T:_Z:_T:Q3:_Z:_T:_T:_T:_Z:_Z:VE","68.82000","69.04000","73.41000","75.39000","75.89000","74.38000","74.35000","","","",""
"CR:Completion rate","PT:Percentage","L2:Lower secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q5:Richest","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L2:_T:_T:_T:GLAST:INST_T:_Z:_T:Q5:_Z:_T:_T:_T:_Z:_Z:VE","86.73000","86.01000","85.36000","90.37000","87.45000","85.86000","87.89000","","","",""
"CR:Completion rate","GPI:Gender parity index","L1:Primary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q2:Second","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:GPI:L1:_T:_T:_T:GLAST:INST_T:_Z:_T:Q2:_Z:_T:_T:_T:_Z:_Z:VE","1.05740","1.06436","1.06447","1.05665","1.04662","1.04024","1.04046","","","",""
"CR:Completion rate","SESPIA:Adjusted SES parity index","L3:Upper secondary education","_T:Total","F:Female","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","_T:Total","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:SESPIA:L3:_T:F:_T:GLAST:INST_T:_Z:_T:_T:_Z:_T:_T:_T:_Z:_Z:VE","0.58955","0.56614","0.69698","0.62373","0.68784","0.64482","0.66750","","","",""
"ROFST:Rate of out-of-school children","PT:Percentage","L2:Lower secondary education","_T:Total","_T:Total","SCH_AGE_GROUP:School-age population","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","ROFST:PT:L2:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","8.21529","9.95467","8.49761","9.96969","11.16421","9.24136","6.86848","8.24318","9.83855","11.84534",""
"STU:Students","PT:Percentage","L2_3:Secondary education","C5:Vocational programmes","_T:Total","Y15T24:15-24 years","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","STU:PT:L2_3:C5:_T:Y15T24:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","2.11932","2.18435","2.31536","2.10112","2.06398","2.15172","","2.17537","1.96612","",""
"CR:Completion rate","GPIA:Adjusted gender parity index","L1:Primary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q2:Second","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:GPIA:L1:_T:_T:_T:GLAST:INST_T:_Z:_T:Q2:_Z:_T:_T:_T:_Z:_Z:VE","1.05429","1.06047","1.06057","1.05361","1.04455","1.03869","1.03888","","","",""
"CR:Completion rate","GPI:Gender parity index","L2:Lower secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q1:Poorest","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:GPI:L2:_T:_T:_T:GLAST:INST_T:_Z:_T:Q1:_Z:_T:_T:_T:_Z:_Z:VE","1.21642","1.17099","1.24201","1.18484","1.15856","1.20868","1.19510","","","",""
"STU_LANG_TEST:Students who spoke the language of the test at home","PT:Percentage","L2:Lower secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","READING:Reading","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","STU_LANG_TEST:PT:L2:_T:_T:_T:GLAST:INST_T:_Z:READING:_Z:_Z:_T:_T:_T:_Z:_Z:VE","","","60.22000","","","","","","","",""
"CR:Completion rate","PT:Percentage","L3:Upper secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","_T:Total","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L3:_T:_T:_T:GLAST:INST_T:_Z:_T:_T:_Z:_T:_T:_T:_Z:_Z:VE","61.39000","62.78000","66","68.06000","69.91000","68.67000","70.54000","","","",""
"TRTP:Percentage of trained teachers","GPI:Gender parity index","L4:Post-secondary non-tertiary education","_T:Total","_T:Total","_T:Total","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","TRTP:GPI:L4:_T:_T:_T:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","","0","0","0","","","","0","0","",""
"CR:Completion rate","GPIA:Adjusted gender parity index","L1:Primary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q1:Poorest","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:GPIA:L1:_T:_T:_T:GLAST:INST_T:_Z:_T:Q1:_Z:_T:_T:_T:_Z:_Z:VE","1.07431","1.10044","1.04481","1.08178","1.04707","1.05843","1.04600","","","",""
"CR:Completion rate","GPI:Gender parity index","L2:Lower secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q2:Second","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:GPI:L2:_T:_T:_T:GLAST:INST_T:_Z:_T:Q2:_Z:_T:_T:_T:_Z:_Z:VE","1.24137","1.22786","1.16206","1.18790","1.22339","1.25952","1.19047","","","",""
"CR:Completion rate","PT:Percentage","L3:Upper secondary education","_T:Total","M:Male","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q1:Poorest","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L3:_T:M:_T:GLAST:INST_T:_Z:_T:Q1:_Z:_T:_T:_T:_Z:_Z:VE","39.37000","38.59000","47.46000","42.99000","52","47.45000","53.90000","","","",""
"CR:Completion rate","PT:Percentage","L2:Lower secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q4:Fourth","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L2:_T:_T:_T:GLAST:INST_T:_Z:_T:Q4:_Z:_T:_T:_T:_Z:_Z:VE","77.66000","80.07000","82.80000","83.42000","86.37000","82.09000","83.60000","","","",""
"CR:Completion rate","GPIA:Adjusted gender parity index","L2:Lower secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q1:Poorest","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:GPIA:L2:_T:_T:_T:GLAST:INST_T:_Z:_T:Q1:_Z:_T:_T:_T:_Z:_Z:VE","1.17792","1.14602","1.19485","1.15600","1.13686","1.17265","1.16325","","","",""
"CR:Completion rate","GPIA:Adjusted gender parity index","L1:Primary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q3:Middle","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:GPIA:L1:_T:_T:_T:GLAST:INST_T:_Z:_T:Q3:_Z:_T:_T:_T:_Z:_Z:VE","1.03309","1.04455","1.04208","1.01860","1.03602","1.01607","1.00417","","","",""
"CR:Completion rate","SESPIA:Adjusted SES parity index","L3:Upper secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","_T:Total","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:SESPIA:L3:_T:_T:_T:GLAST:INST_T:_Z:_T:_T:_Z:_T:_T:_T:_Z:_Z:VE","0.58776","0.54639","0.68732","0.60793","0.68236","0.64142","0.69485","","","",""
"CR:Completion rate","PT:Percentage","L2:Lower secondary education","_T:Total","F:Female","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","_T:Total","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L2:_T:F:_T:GLAST:INST_T:_Z:_T:_T:_Z:_T:_T:_T:_Z:_Z:VE","79.30000","81.80000","83.94000","83.59000","85.13000","80.67000","83.92000","","","",""
"CR:Completion rate","PT:Percentage","L3:Upper secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q3:Middle","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L3:_T:_T:_T:GLAST:INST_T:_Z:_T:Q3:_Z:_T:_T:_T:_Z:_Z:VE","57.91000","62.46000","63.93000","68.86000","70.02000","70.13000","73.08000","","","",""
"CR:Completion rate","SESPIA:Adjusted SES parity index","L3:Upper secondary education","_T:Total","M:Male","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","_T:Total","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:SESPIA:L3:_T:M:_T:GLAST:INST_T:_Z:_T:_T:_Z:_T:_T:_T:_Z:_Z:VE","0.55357","0.50013","0.63902","0.55500","0.65723","0.60841","0.68645","","","",""
"AIR:Gross intake ratio","PT:Percentage","L2:Lower secondary education","C4:General programmes","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","INIT:Initial education","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","AIR:PT:L2:C4:_T:_T:GLAST:INST_T:_Z:_T:_Z:_Z:_T:INIT:_T:_Z:_Z:VE","72.57426","77.19319","77.11826","75.37469","75.78531","77.77841","78.66548","76.25263","75.60505","74.06422",""
"STU_NATIVE:Students who have no immigrant background","PT:Percentage","L2:Lower secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","READING:Reading","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","STU_NATIVE:PT:L2:_T:_T:_T:GLAST:INST_T:_Z:READING:_Z:_Z:_T:_T:_T:_Z:_Z:VE","","","59.78000","","","","","","","",""
"CR:Completion rate","PT:Percentage","L3:Upper secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q1:Poorest","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L3:_T:_T:_T:GLAST:INST_T:_Z:_T:Q1:_Z:_T:_T:_T:_Z:_Z:VE","45.14000","44.29000","55.24000","50.44000","56.67000","53.36000","58.27000","","","",""
"STU:Students","GLPI:Location parity index","L2:Lower secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","MATH:Mathematics","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","STU:GLPI:L2:_T:_T:_T:GLAST:INST_T:_Z:MATH:_Z:_Z:_T:_T:_T:_Z:_Z:VE","","","0.27361","","","","","","","",""
"CR:Completion rate","GPI:Gender parity index","L1:Primary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q3:Middle","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:GPI:L1:_T:_T:_T:GLAST:INST_T:_Z:_T:Q3:_Z:_T:_T:_T:_Z:_Z:VE","1.03422","1.04663","1.04393","1.01895","1.03737","1.01633","1.00419","","","",""
"CR:Completion rate","GPI:Gender parity index","L2:Lower secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","_T:Total","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:GPI:L2:_T:_T:_T:GLAST:INST_T:_Z:_T:_T:_Z:_T:_T:_T:_Z:_Z:VE","1.15733","1.16790","1.16293","1.13836","1.14069","1.13973","1.13207","","","",""
"EA:Educational attainment","PT:Percentage","_Z:Not applicable","_Z:Not applicable","F:Female","Y_GE25:25 years and over","_Z:Not applicable","_Z:Not applicable","L7_8:At least completed master's or equivalent level","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_T:Total","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","EA:PT:_Z:_Z:F:Y_GE25:_Z:_Z:L7_8:_Z:_Z:_Z:_T:_Z:_T:_Z:_Z:VE","","","","","","","","","1.24196","",""
"ROFST:Rate of out-of-school children","GPIA:Adjusted gender parity index","L1_2:Primary and lower secondary education","_T:Total","_T:Total","SCH_AGE_GROUP:School-age population","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","ROFST:GPIA:L1_2:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","0.81264","0.86225","0.85773","0.86913","0.86571","1.04146","1.01329","0.87551","0.94854","0.95735",""
"CR:Completion rate","GPI:Gender parity index","L1:Primary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q4:Fourth","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:GPI:L1:_T:_T:_T:GLAST:INST_T:_Z:_T:Q4:_Z:_T:_T:_T:_Z:_Z:VE","1.02949","1.02787","1.03168","1.03086","1.02781","0.99590","1.02248","","","",""
"AIR:Gross intake ratio","PT:Percentage","L2:Lower secondary education","C4:General programmes","M:Male","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","INIT:Initial education","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","AIR:PT:L2:C4:M:_T:GLAST:INST_T:_Z:_T:_Z:_Z:_T:INIT:_T:_Z:_Z:VE","67.00434","72.38127","72.11338","70.05313","70.93981","73.29078","73.77985","71.72913","71.19046","69.80119",""
"EA:Educational attainment","PT:Percentage","_Z:Not applicable","_Z:Not applicable","_T:Total","Y_GE25:25 years and over","_Z:Not applicable","_Z:Not applicable","L5T8:At least completed short-cycle tertiary education","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_T:Total","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","EA:PT:_Z:_Z:_T:Y_GE25:_Z:_Z:L5T8:_Z:_Z:_Z:_T:_Z:_T:_Z:_Z:VE","13.96212","14.68426","15.92150","","24.86441","","","","29.77756","",""
"CR:Completion rate","GPI:Gender parity index","L2:Lower secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q3:Middle","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:GPI:L2:_T:_T:_T:GLAST:INST_T:_Z:_T:Q3:_Z:_T:_T:_T:_Z:_Z:VE","1.16797","1.24218","1.15843","1.14153","1.14890","1.10608","1.15763","","","",""
"CR:Completion rate","GPIA:Adjusted gender parity index","L1:Primary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q4:Fourth","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:GPIA:L1:_T:_T:_T:GLAST:INST_T:_Z:_T:Q4:_Z:_T:_T:_T:_Z:_Z:VE","1.02865","1.02712","1.03071","1.02994","1.02706","0.99590","1.02198","","","",""
"EA:Educational attainment","GPI:Gender parity index","_Z:Not applicable","_Z:Not applicable","_T:Total","Y_GE25:25 years and over","_Z:Not applicable","_Z:Not applicable","L1T8:At least completed primary education","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_T:Total","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","EA:GPI:_Z:_Z:_T:Y_GE25:_Z:_Z:L1T8:_Z:_Z:_Z:_T:_Z:_T:_Z:_Z:VE","1.01532","1.01580","1.02070","","","","","","1.02282","",""
"CR:Completion rate","PT:Percentage","L2:Lower secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q3:Middle","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L2:_T:_T:_T:GLAST:INST_T:_Z:_T:Q3:_Z:_T:_T:_T:_Z:_Z:VE","74.30000","77.16000","79.10000","80.61000","81.33000","78.13000","80.26000","","","",""
"CR:Completion rate","PT:Percentage","L1:Primary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q1:Poorest","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L1:_T:_T:_T:GLAST:INST_T:_Z:_T:Q1:_Z:_T:_T:_T:_Z:_Z:VE","86.92000","86.02000","88.80000","88.31000","90.51000","90.89000","90.72000","","","",""
"LR:Literacy rate","PT:Percentage","_Z:Not applicable","_Z:Not applicable","_T:Total","Y_GE65:65 years and over","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_T:Total","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","LR:PT:_Z:_Z:_T:Y_GE65:_Z:_Z:_Z:_Z:_Z:_Z:_T:_Z:_T:_Z:_Z:VE","76.68957","","78.12635","","79.93223","","","","85.14168","88.10031",""
"STU:Students","PT:Percentage","L2_3:Secondary education","C5:Vocational programmes","M:Male","Y15T24:15-24 years","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","STU:PT:L2_3:C5:M:Y15T24:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","2.10638","2.19970","2.29885","2.10192","2.05380","2.01749","","2.14369","1.99511","",""
"CR:Completion rate","GPIA:Adjusted gender parity index","L2:Lower secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","_T:Total","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:GPIA:L2:_T:_T:_T:GLAST:INST_T:_Z:_T:_T:_Z:_T:_T:_T:_Z:_Z:VE","1.13594","1.14377","1.14010","1.12155","1.12334","1.12260","1.11666","","","",""
"LR:Literacy rate","PT:Percentage","_Z:Not applicable","_Z:Not applicable","F:Female","Y_GE65:65 years and over","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_T:Total","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","LR:PT:_Z:_Z:F:Y_GE65:_Z:_Z:_Z:_Z:_Z:_Z:_T:_Z:_T:_Z:_Z:VE","73.58923","","75.20552","","77.97175","","","","82.72374","86.71391",""
"CR:Completion rate","PT:Percentage","L1:Primary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q2:Second","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L1:_T:_T:_T:GLAST:INST_T:_Z:_T:Q2:_Z:_T:_T:_T:_Z:_Z:VE","88.68000","90.39000","90.99000","92.58000","93.04000","94.10000","94.54000","","","",""
"EA:Educational attainment","GPI:Gender parity index","_Z:Not applicable","_Z:Not applicable","_T:Total","Y_GE25:25 years and over","_Z:Not applicable","_Z:Not applicable","L3T8:At least completed upper secondary education","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_T:Total","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","EA:GPI:_Z:_Z:_T:Y_GE25:_Z:_Z:L3T8:_Z:_Z:_Z:_T:_Z:_T:_Z:_Z:VE","1.15826","1.17110","1.17896","","","","","","1.15357","",""
"CR:Completion rate","GPI:Gender parity index","L2:Lower secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q4:Fourth","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:GPI:L2:_T:_T:_T:GLAST:INST_T:_Z:_T:Q4:_Z:_T:_T:_T:_Z:_Z:VE","1.16464","1.14694","1.17748","1.11854","1.11555","1.11599","1.11002","","","",""
"EA:Educational attainment","PT:Percentage","_Z:Not applicable","_Z:Not applicable","M:Male","Y_GE25:25 years and over","_Z:Not applicable","_Z:Not applicable","L3T8:At least completed upper secondary education","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_T:Total","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","EA:PT:_Z:_Z:M:Y_GE25:_Z:_Z:L3T8:_Z:_Z:_Z:_T:_Z:_T:_Z:_Z:VE","36.83037","38.13946","39.41358","","","","","","51.74686","",""
"STU_NATIVE:Students who have no immigrant background","PT:Percentage","L2:Lower secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","MATH:Mathematics","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","STU_NATIVE:PT:L2:_T:_T:_T:GLAST:INST_T:_Z:MATH:_Z:_Z:_T:_T:_T:_Z:_Z:VE","","","41.85000","","","","","","","",""
"CR:Completion rate","PT:Percentage","L2:Lower secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q1:Poorest","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L2:_T:_T:_T:GLAST:INST_T:_Z:_T:Q1:_Z:_T:_T:_T:_Z:_Z:VE","64.26000","65.91000","70.13000","67.29000","70.68000","65.03000","70.34000","","","",""
"CR:Completion rate","PT:Percentage","L1:Primary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q4:Fourth","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L1:_T:_T:_T:GLAST:INST_T:_Z:_T:Q4:_Z:_T:_T:_T:_Z:_Z:VE","95.20000","94.53000","96.06000","96.34000","95.79000","97.32000","97.58000","","","",""
